KABUPATEN BENGKULU SELATAN,"1701","17",1
KABUPATEN REJANG LEBONG,"1702","17",1
KABUPATEN BENGKULU UTARA,"1703","17",1
KABUPATEN KAUR,"1704","17",1
KABUPATEN SELUMA,"1705","17",1
KABUPATEN MUKO MUKO,"1706","17",1
KABUPATEN LEBONG,"1707","17",1
KABUPATEN KEPAHIANG,"1708","17",1
KABUPATEN BENGKULU TENGAH,"1709","17",1
KOTA BENGKULU,"1771","17",1
KABUPATEN LAMPUNG SELATAN,"1801","18",1
KABUPATEN LAMPUNG TENGAH,"1802","18",1
KABUPATEN LAMPUNG UTARA,"1803","18",1
KABUPATEN LAMPUNG BARAT,"1804","18",1
KABUPATEN TULANG BAWANG,"1805","18",1
KABUPATEN TANGGAMUS,"1806","18",1
KABUPATEN LAMPUNG TIMUR,"1807","18",1
KABUPATEN WAY KANAN,"1808","18",1
KABUPATEN PESAWARAN,"1809","18",1
KABUPATEN PRINGSEWU,"1810","18",1
KABUPATEN MESUJI,"1811","18",1
KABUPATEN TULANG BAWANG BARAT,"1812","18",1
KABUPATEN PESISIR BARAT,"1813","18",1
KOTA BANDAR LAMPUNG,"1871","18",1
KOTA METRO,"1872","18",1
KABUPATEN BANGKA,"1901","19",1
KABUPATEN BELITUNG,"1902","19",1
KABUPATEN BANGKA SELATAN,"1903","19",1
KABUPATEN BANGKA TENGAH,"1904","19",1
KABUPATEN BANGKA BARAT,"1905","19",1
KABUPATEN BELITUNG TIMUR,"1906","19",1
KOTA PANGKAL PINANG,"1971","19",1
KABUPATEN BINTAN,"2101","21",1
KABUPATEN KARIMUN,"2102","21",1
KABUPATEN NATUNA,"2103","21",1
KABUPATEN LINGGA,"2104","21",1
KABUPATEN KEPULAUAN ANAMBAS,"2105","21",1
KOTA BATAM,"2171","21",1
KOTA TANJUNG PINANG,"2172","21",1
KABUPATEN ADM. KEP. SERIBU,"3101","31",1
KOTA ADM. JAKARTA PUSAT,"3171","31",1
KOTA ADM. JAKARTA UTARA,"3172","31",1
KOTA ADM. JAKARTA BARAT,"3173","31",1
KOTA ADM. JAKARTA SELATAN,"3174","31",1
KOTA ADM. JAKARTA TIMUR,"3175","31",1
KABUPATEN BOGOR,"3201","32",1
KABUPATEN SUKABUMI,"3202","32",1
KABUPATEN CIANJUR,"3203","32",1
KABUPATEN BANDUNG,"3204","32",1
KABUPATEN GARUT,"3205","32",1
KABUPATEN TASIKMALAYA,"3206","32",1
KABUPATEN CIAMIS,"3207","32",1
KABUPATEN KUNINGAN,"3208","32",1
KABUPATEN CIREBON,"3209","32",1
KABUPATEN MAJALENGKA,"3210","32",1
KABUPATEN SUMEDANG,"3211","32",1
KABUPATEN INDRAMAYU,"3212","32",1
KABUPATEN SUBANG,"3213","32",1
KABUPATEN PURWAKARTA,"3214","32",1
KABUPATEN KARAWANG,"3215","32",1
KABUPATEN BEKASI,"3216","32",1
KABUPATEN BANDUNG BARAT,"3217","32",1
KABUPATEN PANGANDARAN,"3218","32",1
KOTA BOGOR,"3271","32",1
KOTA SUKABUMI,"3272","32",1
KOTA BANDUNG,"3273","32",1
KOTA CIREBON,"3274","32",1
KOTA BEKASI,"3275","32",1
KOTA DEPOK,"3276","32",1
KOTA CIMAHI,"3277","32",1
KOTA TASIKMALAYA,"3278","32",1
KOTA BANJAR,"3279","32",1
KABUPATEN CILACAP,"3301","33",1
KABUPATEN BANYUMAS,"3302","33",1
KABUPATEN PURBALINGGA,"3303","33",1
KABUPATEN BANJARNEGARA,"3304","33",1
KABUPATEN KEBUMEN,"3305","33",1
KABUPATEN PURWOREJO,"3306","33",1
KABUPATEN WONOSOBO,"3307","33",1
KABUPATEN MAGELANG,"3308","33",1
KABUPATEN BOYOLALI,"3309","33",1
KABUPATEN KLATEN,"3310","33",1
KABUPATEN SUKOHARJO,"3311","33",1
KABUPATEN WONOGIRI,"3312","33",1
KABUPATEN KARANGANYAR,"3313","33",1
KABUPATEN SRAGEN,"3314","33",1
KABUPATEN GROBOGAN,"3315","33",1
KABUPATEN BLORA,"3316","33",1
KABUPATEN REMBANG,"3317","33",1
KABUPATEN PATI,"3318","33",1
KABUPATEN KUDUS,"3319","33",1
KABUPATEN JEPARA,"3320","33",1
KABUPATEN DEMAK,"3321","33",1
KABUPATEN SEMARANG,"3322","33",1
KABUPATEN TEMANGGUNG,"3323","33",1
KABUPATEN KENDAL,"3324","33",1
KABUPATEN BATANG,"3325","33",1
KABUPATEN PEKALONGAN,"3326","33",1
KABUPATEN PEMALANG,"3327","33",1
KABUPATEN TEGAL,"3328","33",1
KABUPATEN BREBES,"3329","33",1
KOTA MAGELANG,"3371","33",1
KOTA SURAKARTA,"3372","33",1
KOTA SALATIGA,"3373","33",1
KOTA SEMARANG,"3374","33",1
KOTA PEKALONGAN,"3375","33",1
KOTA TEGAL,"3376","33",1
KABUPATEN KULON PROGO,"3401","34",1
KABUPATEN BANTUL,"3402","34",1
KABUPATEN GUNUNGKIDUL,"3403","34",1
KABUPATEN SLEMAN,"3404","34",1
KOTA YOGYAKARTA,"3471","34",1
KABUPATEN PACITAN,"3501","35",1
KABUPATEN PONOROGO,"3502","35",1
KABUPATEN TRENGGALEK,"3503","35",1
KABUPATEN TULUNGAGUNG,"3504","35",1
KABUPATEN BLITAR,"3505","35",1
KABUPATEN KEDIRI,"3506","35",1
KABUPATEN MALANG,"3507","35",1
KABUPATEN LUMAJANG,"3508","35",1
KABUPATEN JEMBER,"3509","35",1
KABUPATEN BANYUWANGI,"3510","35",1
KABUPATEN BONDOWOSO,"3511","35",1
KABUPATEN SITUBONDO,"3512","35",1
KABUPATEN PROBOLINGGO,"3513","35",1
KABUPATEN PASURUAN,"3514","35",1
KABUPATEN SIDOARJO,"3515","35",1
KABUPATEN MOJOKERTO,"3516","35",1
KABUPATEN JOMBANG,"3517","35",1
KABUPATEN NGANJUK,"3518","35",1
KABUPATEN MADIUN,"3519","35",1
KABUPATEN MAGETAN,"3520","35",1
KABUPATEN NGAWI,"3521","35",1
KABUPATEN BOJONEGORO,"3522","35",1
KABUPATEN TUBAN,"3523","35",1
KABUPATEN LAMONGAN,"3524","35",1
KABUPATEN GRESIK,"3525","35",1
KABUPATEN BANGKALAN,"3526","35",1
KABUPATEN SAMPANG,"3527","35",1
KABUPATEN PAMEKASAN,"3528","35",1
KABUPATEN SUMENEP,"3529","35",1
KOTA KEDIRI,"3571","35",1
KOTA BLITAR,"3572","35",1
KOTA MALANG,"3573","35",1
KOTA PROBOLINGGO,"3574","35",1
KOTA PASURUAN,"3575","35",1
KOTA MOJOKERTO,"3576","35",1
KOTA MADIUN,"3577","35",1
KOTA SURABAYA,"3578","35",1
KOTA BATU,"3579","35",1
KABUPATEN PANDEGLANG,"3601","36",1
KABUPATEN LEBAK,"3602","36",1
KABUPATEN TANGERANG,"3603","36",1
KABUPATEN SERANG,"3604","36",1
KOTA TANGERANG,"3671","36",1
KOTA CILEGON,"3672","36",1
KOTA SERANG,"3673","36",1
KOTA TANGERANG SELATAN,"3674","36",1
KABUPATEN JEMBRANA,"5101","51",1
KABUPATEN TABANAN,"5102","51",1
KABUPATEN BADUNG,"5103","51",1
KABUPATEN GIANYAR,"5104","51",1
KABUPATEN KLUNGKUNG,"5105","51",1
KABUPATEN BANGLI,"5106","51",1
KABUPATEN KARANGASEM,"5107","51",1
KABUPATEN BULELENG,"5108","51",1
KOTA DENPASAR,"5171","51",1
KABUPATEN LOMBOK BARAT,"5201","52",1
KABUPATEN LOMBOK TENGAH,"5202","52",1
KABUPATEN LOMBOK TIMUR,"5203","52",1
KABUPATEN SUMBAWA,"5204","52",1
KABUPATEN DOMPU,"5205","52",1
KABUPATEN BIMA,"5206","52",1
KABUPATEN SUMBAWA BARAT,"5207","52",1
KABUPATEN LOMBOK UTARA,"5208","52",1
KOTA MATARAM,"5271","52",1
KOTA BIMA,"5272","52",1
KABUPATEN KUPANG,"5301","53",1
KAB TIMOR TENGAH SELATAN,"5302","53",1
KABUPATEN TIMOR TENGAH UTARA,"5303","53",1
KABUPATEN BELU,"5304","53",1
KABUPATEN ALOR,"5305","53",1
KABUPATEN FLORES TIMUR,"5306","53",1
KABUPATEN SIKKA,"5307","53",1
KABUPATEN ENDE,"5308","53",1
KABUPATEN NGADA,"5309","53",1
KABUPATEN MANGGARAI,"5310","53",1
KABUPATEN SUMBA TIMUR,"5311","53",1
KABUPATEN SUMBA BARAT,"5312","53",1
KABUPATEN LEMBATA,"5313","53",1
KABUPATEN ROTE NDAO,"5314","53",1
KABUPATEN MANGGARAI BARAT,"5315","53",1
KABUPATEN NAGEKEO,"5316","53",1
KABUPATEN SUMBA TENGAH,"5317","53",1
KABUPATEN SUMBA BARAT DAYA,"5318","53",1
KABUPATEN MANGGARAI TIMUR,"5319","53",1
KABUPATEN SABU RAIJUA,"5320","53",1
KABUPATEN MALAKA,"5321","53",1
KOTA KUPANG,"5371","53",1
KABUPATEN SAMBAS,"6101","61",1
KABUPATEN MEMPAWAH,"6102","61",1
KABUPATEN SANGGAU,"6103","61",1
KABUPATEN KETAPANG,"6104","61",1
KABUPATEN SINTANG,"6105","61",1
KABUPATEN KAPUAS HULU,"6106","61",1
KABUPATEN BENGKAYANG,"6107","61",1
KABUPATEN LANDAK,"6108","61",1
KABUPATEN SEKADAU,"6109","61",1
KABUPATEN MELAWI,"6110","61",1
KABUPATEN KAYONG UTARA,"6111","61",1
KABUPATEN KUBU RAYA,"6112","61",1
KOTA PONTIANAK,"6171","61",1
KOTA SINGKAWANG,"6172","61",1
KABUPATEN KOTAWARINGIN BARAT,"6201","62",1
KABUPATEN KOTAWARINGIN TIMUR,"6202","62",1
KABUPATEN KAPUAS,"6203","62",1
KABUPATEN BARITO SELATAN,"6204","62",1
KABUPATEN BARITO UTARA,"6205","62",1
KABUPATEN KATINGAN,"6206","62",1
KABUPATEN SERUYAN,"6207","62",1
KABUPATEN SUKAMARA,"6208","62",1
KABUPATEN LAMANDAU,"6209","62",1
KABUPATEN GUNUNG MAS,"6210","62",1
KABUPATEN PULANG PISAU,"6211","62",1
KABUPATEN MURUNG RAYA,"6212","62",1
KABUPATEN BARITO TIMUR,"6213","62",1
KOTA PALANGKARAYA,"6271","62",1
KABUPATEN TANAH LAUT,"6301","63",1
KABUPATEN KOTABARU,"6302","63",1
KABUPATEN BANJAR,"6303","63",1
KABUPATEN BARITO KUALA,"6304","63",1
KABUPATEN TAPIN,"6305","63",1
KABUPATEN HULU SUNGAI SELATAN,"6306","63",1
KABUPATEN HULU SUNGAI TENGAH,"6307","63",1
KABUPATEN HULU SUNGAI UTARA,"6308","63",1
KABUPATEN TABALONG,"6309","63",1
KABUPATEN TANAH BUMBU,"6310","63",1
KABUPATEN BALANGAN,"6311","63",1
KOTA BANJARMASIN,"6371","63",1
KOTA BANJARBARU,"6372","63",1
KABUPATEN PASER,"6401","64",1
KABUPATEN KUTAI KARTANEGARA,"6402","64",1
KABUPATEN BERAU,"6403","64",1
KABUPATEN KUTAI BARAT,"6407","64",1
